symbol,isin_no,name,listing_date,Face Value,Paid Up Value,Market Lot,Industry
KDDL-RE,INE291D20011,KDDL Limited - RE,09-Apr-2021,10,10,1,-
BARBEQUE,INE382M01027,Barbeque Nation Hospitality Limited,07-Apr-2021,5,5,1,-
SUVIDHAA,INE018401013,Suvidhaa Infoserve Limited,31-Mar-2021,1,1,1,-
ORTINLAB,INE749B01020,Ortin Laboratories Limited,30-Mar-2021,10,10,1,-
NAZARA,INE418L01021,Nazara Technologies Limited,30-Mar-2021,4,4,1,-
SURYODAY,INE428Q01011,Suryoday Small Finance Bank Limited,26-Mar-2021,10,10,1,-
KALYANKJIL,INE303R01014,Kalyan Jewellers India Limited,26-Mar-2021,10,10,1,-
CRAFTSMAN,INE00LO01017,Craftsman Automation Limited,25-Mar-2021,5,5,1,-
LXCHEM,INE576O01020,Laxmi Organic Industries Limited,25-Mar-2021,2,2,1,-
ANURAS,INE930P01018,Anupam Rasayan India Limited,24-Mar-2021,10,10,1,-
ARVEE,INE006Z01016,Arvee Laboratories (India) Limited,22-Mar-2021,10,10,1,-
EASEMYTRIP,INE07O001018,Easy Trip Planners Limited,19-Mar-2021,2,2,1,-
JUBLINGREA,INE0BY001018,Jubilant Ingrevia Limited,19-Mar-2021,1,1,1,-
MTARTECH,INE864I01014,Mtar Technologies Limited,15-Mar-2021,10,10,1,-
DRCSYSTEMS,INE03RS01019,DRC Systems India Limited,10-Mar-2021,10,10,1,-
HERANBA,INE694N01015,Heranba Industries Limited,05-Mar-2021,10,10,1,-
BCLIND,INE412G01016,Bcl Industries Limited,04-Mar-2021,10,10,1,-
SILGO,INE01II01013,Silgo Retail Limited,03-Mar-2021,10,10,1,-
RAILTEL,INE0DD101019,Railtel Corporation Of India Limited,26-Feb-2021,10,10,1,-
NURECA,INE0DSF01015,Nureca Limited,25-Feb-2021,10,10,1,-
SMCGLOBAL,INE103C01036,SMC Global Securities Limited,24-Feb-2021,2,2,1,-
IRISDOREME,INE01GN01017,Iris Clothings Limited,22-Feb-2021,10,10,1,-
HLEGLAS,INE461D01010,HLE Glascoat Limited,22-Feb-2021,10,10,1,-
BESTAGRO,INE052T01013,Best Agrolife Limited,22-Feb-2021,10,10,1,-
RAJMET,INE00KV01014,Rajnandini Metal Limited,16-Feb-2021,10,10,1,-
AKG,INE00Y801016,Akg Exim Limited,16-Feb-2021,10,10,1,-
GENCON,INE854S01022,Generic Engineering Construction and Projects Limited,16-Feb-2021,5,5,1,-
STOVEKRAFT,INE00IN01015,Stove Kraft Limited,05-Feb-2021,10,10,1,-
HOMEFIRST,INE481N01025,Home First Finance Company India Limited,03-Feb-2021,2,2,1,-
INDIGOPNTS,INE09VQ01012,Indigo Paints Limited,02-Feb-2021,10,10,1,-
IRFC,INE053F01010,Indian Railway Finance Corporation Limited,29-Jan-2021,10,10,1,-
AHLADA,INE00PV01013,Ahlada Engineers Limited,28-Jan-2021,10,10,1,-
WEALTH,INE658T01017,Wealth First Portfolio Managers Limited,20-Jan-2021,10,10,1,-
ACRYSIL,INE482D01024,Acrysil Limited,14-Jan-2021,2,2,1,-
KANPRPLA,INE694E01014,Kanpur Plastipack Limited,01-Jan-2021,10,10,1,-
AWHCL,INE01BK01022,Antony Waste Handling Cell Limited,01-Jan-2021,5,5,1,-
BECTORFOOD,INE495P01012,Mrs. Bectors Food Specialities Limited,24-Dec-2020,10,10,1,-
FAIRCHEMOR,INE0DNW01011,Fairchem Organics Limited,24-Dec-2020,10,10,1,-
GODHA,INE925Y01010,Godha Cabcon & Insulation Limited,24-Dec-2020,10,10,1,-
MGEL,INE0APB01016,Mangalam Global Enterprise Limited,23-Dec-2020,10,10,1,-
TARC,INE0EK901012,Anant Raj Global Limited,18-Dec-2020,2,2,1,-
RKEC,INE786W01010,RKEC Projects Limited,18-Dec-2020,10,10,1,-
RVHL,INE09E501017,Ravinder Heights Limited,18-Dec-2020,1,1,1,-
BURGERKING,INE07T201019,Burger King India Limited,14-Dec-2020,10,10,1,-
REPL,INE364Z01019,Rudrabhishek Enterprises Limited,14-Dec-2020,10,10,1,-
ACCURACY,INE648Z01015,Accuracy Shipping Limited,11-Dec-2020,10,10,1,-
GLOBAL,INE291W01011,Global Education Limited,07-Dec-2020,10,10,1,-
SUPREMEENG,INE319Z01013,Supreme Engineering Limited,04-Dec-2020,10,10,1,-
MARINE,INE01JE01028,Marine Electricals (India) Limited,02-Dec-2020,2,2,1,-
GLAND,INE068V01023,Gland Pharma Limited,20-Nov-2020,1,1,1,-
DANGEE,INE688Y01014,Dangee Dums Limited,13-Nov-2020,10,10,1,-
KEERTI,INE586X01012,Keerti Knowledge and Skills Limited,13-Nov-2020,10,10,1,-
AARON,INE721Z01010,Aaron Industries Limited,06-Nov-2020,10,10,1,-
SUBEXLTD,INE754A01055,Subex Limited,05-Nov-2020,5,5,1,-
DPABHUSHAN,INE266Y01019,D. P. Abhushan Limited,03-Nov-2020,10,10,1,-
EQUITASBNK,INE063P01018,Equitas Small Finance Bank Limited,02-Nov-2020,10,10,1,-
