SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
601GS2028," GS"," 20-Apr-2021"," 70.00"," 66.55"," 66.55"," 66.55"," 66.55"," 66.55"," 66.55"," 1"," 0.00"," 1"," 1"," 100.00"
716GS2050," GS"," 20-Apr-2021"," 111.00"," 111.00"," 116.45"," 111.00"," 116.45"," 116.45"," 111.06"," 91"," 0.10"," 5"," 91"," 100.00"
763GS2059," GS"," 20-Apr-2021"," 115.00"," 115.00"," 115.00"," 115.00"," 115.00"," 115.00"," 115.00"," 1549"," 1.78"," 1"," 1549"," 100.00"
772GS2049," GS"," 20-Apr-2021"," 117.00"," 120.00"," 120.00"," 120.00"," 120.00"," 120.00"," 120.00"," 6"," 0.01"," 1"," 6"," 100.00"
AAKASH," BE"," 20-Apr-2021"," 134.20"," 131.70"," 135.00"," 131.70"," 133.00"," 133.00"," 132.99"," 9050"," 12.04"," 76"," -"," -"
ABFRLPP1," E1"," 20-Apr-2021"," 134.30"," 136.95"," 149.00"," 136.85"," 140.00"," 139.65"," 139.60"," 7047"," 9.84"," 298"," 3740"," 53.07"
ABINFRA," SM"," 20-Apr-2021"," 6.20"," 5.90"," 6.15"," 5.90"," 6.15"," 6.15"," 6.03"," 8000"," 0.48"," 2"," 4000"," 50.00"
ABSLRIF6RG," MF"," 20-Apr-2021"," 8.75"," 8.01"," 8.25"," 8.01"," 8.25"," 8.13"," 8.12"," 17550"," 1.42"," 7"," 17550"," 100.00"
ACCORD," SM"," 20-Apr-2021"," 17.10"," 17.25"," 17.25"," 17.25"," 17.25"," 17.25"," 17.25"," 10000"," 1.73"," 1"," 10000"," 100.00"
ADL," BE"," 20-Apr-2021"," 30.10"," 28.65"," 31.30"," 28.65"," 29.00"," 30.65"," 29.57"," 899"," 0.27"," 17"," -"," -"
ADROITINFO," BE"," 20-Apr-2021"," 8.50"," 8.90"," 8.90"," 8.50"," 8.50"," 8.50"," 8.73"," 5303"," 0.46"," 13"," -"," -"
AGARIND," BE"," 20-Apr-2021"," 151.05"," 151.10"," 154.90"," 151.10"," 154.00"," 154.00"," 153.06"," 4577"," 7.01"," 47"," -"," -"
AIROLAM," SM"," 20-Apr-2021"," 25.00"," 24.00"," 24.00"," 23.35"," 23.35"," 23.35"," 23.68"," 6000"," 1.42"," 2"," 6000"," 100.00"
AISL," SM"," 20-Apr-2021"," 39.45"," 38.00"," 39.95"," 38.00"," 39.10"," 39.10"," 39.30"," 25200"," 9.90"," 16"," 2400"," 9.52"
AJOONI," SM"," 20-Apr-2021"," 32.50"," 33.85"," 33.85"," 31.00"," 31.35"," 31.10"," 31.31"," 57772"," 18.09"," 6"," 39996"," 69.23"
ALPSINDUS," BE"," 20-Apr-2021"," 1.55"," 1.55"," 1.55"," 1.50"," 1.50"," 1.50"," 1.52"," 6336"," 0.10"," 21"," -"," -"
AMDIND," BE"," 20-Apr-2021"," 17.30"," 17.95"," 17.95"," 17.00"," 17.50"," 17.50"," 17.59"," 4969"," 0.87"," 21"," -"," -"
ARCHIDPLY," BE"," 20-Apr-2021"," 29.50"," 29.55"," 29.55"," 29.00"," 29.50"," 29.45"," 29.34"," 10054"," 2.95"," 44"," -"," -"
ARROWGREEN," BE"," 20-Apr-2021"," 69.70"," 69.00"," 69.00"," 66.25"," 66.25"," 66.70"," 67.08"," 5136"," 3.44"," 76"," -"," -"
ARSHIYA," BE"," 20-Apr-2021"," 27.00"," 26.20"," 27.50"," 26.10"," 26.95"," 26.45"," 26.60"," 11884"," 3.16"," 97"," -"," -"
ARVEE," BE"," 20-Apr-2021"," 94.50"," 99.20"," 99.20"," 99.20"," 99.20"," 99.20"," 99.20"," 3320"," 3.29"," 41"," -"," -"
ASAL," BE"," 20-Apr-2021"," 31.65"," 30.65"," 32.15"," 30.65"," 32.15"," 32.15"," 31.63"," 505"," 0.16"," 4"," -"," -"
ASLIND," SM"," 20-Apr-2021"," 16.00"," 16.80"," 16.80"," 16.80"," 16.80"," 16.80"," 16.80"," 4000"," 0.67"," 1"," 4000"," 100.00"
AVG," SM"," 20-Apr-2021"," 46.50"," 46.50"," 46.50"," 46.50"," 46.50"," 46.50"," 46.50"," 1200"," 0.56"," 1"," 1200"," 100.00"
BAFNAPH," BE"," 20-Apr-2021"," 132.10"," 129.50"," 132.70"," 126.00"," 128.10"," 128.85"," 129.67"," 10017"," 12.99"," 197"," -"," -"
BALKRISHNA," BE"," 20-Apr-2021"," 20.35"," 19.50"," 20.35"," 19.35"," 20.35"," 20.35"," 19.82"," 1711"," 0.34"," 14"," -"," -"
BALLARPUR," BZ"," 20-Apr-2021"," 1.10"," 1.10"," 1.10"," 1.05"," 1.10"," 1.05"," 1.06"," 647962"," 6.87"," 141"," -"," -"
BARTRONICS," BZ"," 20-Apr-2021"," 2.30"," 2.20"," 2.30"," 2.20"," 2.25"," 2.25"," 2.27"," 4819"," 0.11"," 16"," -"," -"
BBTCL," SM"," 20-Apr-2021"," 78.00"," 75.00"," 75.00"," 74.10"," 74.10"," 74.10"," 74.55"," 6000"," 4.47"," 2"," 6000"," 100.00"
BCONCEPTS," SM"," 20-Apr-2021"," 24.15"," 25.35"," 25.35"," 25.35"," 25.35"," 25.35"," 25.35"," 9000"," 2.28"," 2"," 9000"," 100.00"
BETA," SM"," 20-Apr-2021"," 144.75"," 151.75"," 151.95"," 151.75"," 151.95"," 151.95"," 151.79"," 8000"," 12.14"," 10"," 7200"," 90.00"
BHAGYANGR," BE"," 20-Apr-2021"," 49.45"," 48.50"," 51.80"," 48.00"," 48.15"," 48.50"," 49.12"," 16808"," 8.26"," 156"," -"," -"
BHANDARI," BE"," 20-Apr-2021"," 2.15"," 2.15"," 2.20"," 2.05"," 2.15"," 2.15"," 2.10"," 118076"," 2.48"," 96"," -"," -"
BHARATWIRE," BE"," 20-Apr-2021"," 40.70"," 40.50"," 41.20"," 38.70"," 41.15"," 40.40"," 39.30"," 52040"," 20.45"," 156"," -"," -"
BIOFILCHEM," BE"," 20-Apr-2021"," 63.15"," 63.60"," 65.00"," 62.50"," 64.40"," 64.40"," 64.35"," 42224"," 27.17"," 487"," -"," -"
BIRET," RR"," 20-Apr-2021"," 236.64"," 238.10"," 242.45"," 237.01"," 240.00"," 238.42"," 240.41"," 103000"," 247.62"," 359"," 78600"," 76.31"
BLBLIMITED," BE"," 20-Apr-2021"," 5.60"," 5.35"," 5.85"," 5.35"," 5.85"," 5.85"," 5.51"," 3136"," 0.17"," 12"," -"," -"
BLKASHYAP," BE"," 20-Apr-2021"," 14.90"," 14.70"," 14.70"," 14.20"," 14.20"," 14.20"," 14.26"," 110185"," 15.71"," 146"," -"," -"
BOHRA," SM"," 20-Apr-2021"," 2.30"," 2.40"," 2.40"," 2.40"," 2.40"," 2.40"," 2.40"," 2000"," 0.05"," 1"," 2000"," 100.00"
BRIGHT," SM"," 20-Apr-2021"," 10.50"," 10.00"," 10.20"," 9.75"," 10.20"," 10.00"," 9.95"," 12000"," 1.19"," 4"," 6000"," 50.00"
BRITANNIA," N2"," 20-Apr-2021"," 32.45"," 32.99"," 32.99"," 32.26"," 32.38"," 32.42"," 32.50"," 2198"," 0.71"," 53"," 1950"," 88.72"
BSHSL," BE"," 20-Apr-2021"," 133.30"," 133.30"," 136.00"," 132.10"," 136.00"," 136.00"," 133.84"," 2250"," 3.01"," 56"," -"," -"
BURNPUR," BE"," 20-Apr-2021"," 2.20"," 2.20"," 2.25"," 2.10"," 2.25"," 2.25"," 2.19"," 47716"," 1.04"," 63"," -"," -"
BVCL," BE"," 20-Apr-2021"," 16.20"," 15.75"," 16.40"," 15.75"," 16.35"," 16.35"," 16.27"," 3206"," 0.52"," 18"," -"," -"
CANDC," BZ"," 20-Apr-2021"," 4.75"," 4.70"," 4.70"," 4.55"," 4.55"," 4.55"," 4.55"," 1318"," 0.06"," 9"," -"," -"
CAPTRUST," BE"," 20-Apr-2021"," 71.25"," 74.00"," 74.80"," 72.00"," 74.80"," 74.80"," 73.79"," 3905"," 2.88"," 88"," -"," -"
CASTEXTECH," BE"," 20-Apr-2021"," 0.60"," 0.65"," 0.65"," 0.60"," 0.65"," 0.65"," 0.65"," 352221"," 2.28"," 207"," -"," -"
CEBBCO," BE"," 20-Apr-2021"," 16.35"," 16.10"," 17.00"," 16.10"," 16.65"," 16.70"," 16.75"," 20393"," 3.42"," 106"," -"," -"
CELEBRITY," BE"," 20-Apr-2021"," 5.15"," 5.30"," 5.30"," 5.10"," 5.30"," 5.30"," 5.23"," 13763"," 0.72"," 48"," -"," -"
CMICABLES," BE"," 20-Apr-2021"," 43.00"," 42.55"," 43.00"," 42.55"," 42.70"," 42.70"," 42.70"," 15829"," 6.76"," 4698"," -"," -"
CMMIPL," SM"," 20-Apr-2021"," 7.00"," 7.10"," 7.35"," 7.10"," 7.35"," 7.35"," 7.30"," 15000"," 1.10"," 5"," 15000"," 100.00"
CONTI," SM"," 20-Apr-2021"," 5.95"," 5.70"," 5.70"," 5.70"," 5.70"," 5.70"," 5.70"," 3333"," 0.19"," 1"," 3333"," 100.00"
COUNCODOS," BE"," 20-Apr-2021"," 2.05"," 1.95"," 2.15"," 1.95"," 2.10"," 2.05"," 1.98"," 134724"," 2.67"," 237"," -"," -"
COX&KINGS," BZ"," 20-Apr-2021"," 1.15"," 1.10"," 1.15"," 1.10"," 1.10"," 1.10"," 1.13"," 234460"," 2.64"," 149"," -"," -"
CYBERMEDIA," BE"," 20-Apr-2021"," 13.65"," 13.00"," 13.00"," 13.00"," 13.00"," 13.00"," 13.00"," 2325"," 0.30"," 16"," -"," -"
DALALSTCOM," BE"," 20-Apr-2021"," 0.95"," 0.90"," 1.00"," 0.90"," 0.90"," 0.90"," 0.90"," 59997"," 0.54"," 96"," -"," -"
DBREALTY," BE"," 20-Apr-2021"," 19.50"," 18.60"," 19.95"," 18.55"," 18.75"," 18.55"," 18.67"," 401010"," 74.89"," 860"," -"," -"
DCMFINSERV," BE"," 20-Apr-2021"," 1.60"," 1.60"," 1.65"," 1.60"," 1.65"," 1.65"," 1.63"," 5716"," 0.09"," 27"," -"," -"
DCMNVL," BE"," 20-Apr-2021"," 81.00"," 82.50"," 82.50"," 79.00"," 79.00"," 79.40"," 80.61"," 14572"," 11.75"," 45"," -"," -"
DHANILOANS," N1"," 20-Apr-2021"," 997.40"," 1006.25"," 1006.75"," 1000.11"," 1006.75"," 1006.75"," 1002.16"," 67"," 0.67"," 6"," 67"," 100.00"
