bse_code,Issuer Name,symbol,name,Status,group,Sector,isin_no,Industry,Instrument
500002,,ABB,ABB India Limited,Active,A ,,INE117A01022,Heavy Electrical Equipment,Equity
500003,,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,,INE208C01025,Oil Marketing & Distribution,Equity
500008,,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,,INE885A01032,Auto Parts & Equipment,Equity
500009,,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,,INE432A01017,Pharmaceuticals,Equity
500010,,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,,INE001A01036,Housing Finance ,Equity
500012,,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,X ,,INE714B01016,Commodity Chemicals,Equity
500013,,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B ,,INE436A01026,Realty,Equity
500014,,UTIQUE,Utique Enterprises Ltd,Active,X ,,INE096A01010,Finance (including NBFCs),Equity
500016,,ARUNAHTEL,ARUNA HOTELS LTD.,Active,XT,,INE957C01019,Hotels,Equity
500020,,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,,INE032A01023,Textiles,Equity
500023,,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,,INE363A01022,Hotels,Equity
500027,,ATUL,ATUL LTD.,Active,A ,,INE100A01010,Specialty Chemicals,Equity
500028,,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,,INE447A01015,Construction & Engineering,Equity
500031,,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,,INE193E01025,Household Appliances,Equity
500032,,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A ,,INE306A01021,Sugar,Equity
500033,,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,,INE451A01017,Cars & Utility Vehicles,Equity
500034,,BAJFINANCE,Bajaj Finance Limited,Active,A ,,INE296A01024,Finance (including NBFCs),Equity
500038,,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,,INE119A01028,Sugar,Equity
500039,,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,,INE213C01025,Auto Parts & Equipment,Equity
500040,,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,,INE055A01016,Paper & Paper Products,Equity
500041,,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,A ,,INE459A01010,Sugar,Equity
500042,,BASF,BASF INDIA LTD.,Active,A ,,INE373A01013,Specialty Chemicals,Equity
500043,,BATAINDIA,BATA INDIA LTD.,Active,A ,,INE176A01028,Footwear,Equity
500048,,BEML,BEML LTD.,Active,A ,,INE258A01016,Commercial Vehicles,Equity
500049,,BEL,BHARAT ELECTRONICS LTD.,Active,A ,,INE263A01024,Defence,Equity
500052,,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,,INE922A01025,Specialty Chemicals,Equity
500055,,TATASTLBSL,Tata Steel Bsl Ltd,Active,B ,,INE824B01021,Iron & Steel/Interm.Products,Equity
500058,,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,,INE819C01011,Iron & Steel/Interm.Products,Equity
500060,,BIRLACABLE,Birla Cable Ltd,Active,B ,,INE800A01015,Other Elect.Equip./ Prod.,Equity
500067,,BLUESTARCO,BLUE STAR LTD.,Active,A ,,INE472A01039,Consumer Electronics,Equity
500068,,DISAQ,DISA INDIA LTD.,Active,X ,,INE131C01011,Industrial Machinery,Equity
500069,,BNKCAP,BNK CAPITAL MARKETS LTD.,Active,X ,,INE418C01012,Other Financial Services,Equity
500074,,BPL,BPL LTD.,Active,B ,,INE110A01019,Consumer Electronics,Equity
500078,,OAL,Oriental Aromatics Ltd-$,Active,B ,,INE959C01023,Specialty Chemicals,Equity
500083,,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,,INE281A01026,Aluminium,Equity
500084,,CESC,CESC LTD.,Active,A ,,INE486A01013,Electric Utilities,Equity
500085,,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,,INE085A01013,Fertilizers,Equity
500086,,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,,INE302A01020,Auto Parts & Equipment,Equity
500087,,CIPLA,CIPLA LTD.,Active,A ,,INE059A01026,Pharmaceuticals,Equity
500089,,DICIND,DIC INDIA LTD.,Active,B ,,INE303A01010,Specialty Chemicals,Equity
500092,,CRISIL,CRISIL LTD.,Active,A ,,INE007A01025,Other Financial Services,Equity
500093,,CGPOWER,CG Power and Industrial Solutions Ltd,Active,B ,,INE067A01029,Heavy Electrical Equipment,Equity
500096,,DABUR,DABUR INDIA LTD.,Active,A ,,INE016A01026,Personal Products,Equity
500097,,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,,INE495A01022,Sugar,Equity
500101,,ARVIND,ARVIND LTD.,Active,A ,,INE034A01011,Textiles,Equity
500102,,BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,Z ,,INE294A01037,Paper & Paper Products,Equity
500103,,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,,INE257A01026,Heavy Electrical Equipment,Equity
500104,,HINDPETRO*,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,,INE094A01015,Refineries/ Petro-Products,Equity
500106,,IFCI,IFCI LTD.,Active,A ,,INE039A01010,Financial Institutions,Equity
500108,,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,B ,,INE153A01019,Telecom Services,Equity
500109,,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,,INE103A01014,Refineries/ Petro-Products,Equity
500110,,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,,INE178A01016,Refineries/ Petro-Products,Equity
500111,,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,B ,,INE013A01015,Finance (including NBFCs),Equity
500112,,SBIN,STATE BANK OF INDIA,Active,A ,,INE062A01020,Banks,Equity
500113,,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,,INE114A01011,Iron & Steel/Interm.Products,Equity
500114,,TITAN,Titan Company Limited,Active,A ,,INE280A01028,Other Apparels & Accessories,Equity
500116,,IDBI,IDBI BANK LTD.,Active,A ,,INE008A01015,Banks,Equity
500117,,DCW,DCW LTD.,Active,B ,,INE500A01029,Petrochemicals,Equity
500119,,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,A ,,INE041A01016,Sugar,Equity
500120,,DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Active,X ,,INE591D01014,Specialty Chemicals,Equity
500123,,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,A ,,INE280B01018,Commodity Chemicals,Equity
500124,,DRREDDY,DR.REDDY’S LABORATORIES LTD.,Active,A ,,INE089A01023,Pharmaceuticals,Equity
500125,,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,,INE126A01031,Sugar,Equity
500126,,PGHL,Procter & Gamble Health Ltd,Active,A ,,INE199A01012,Pharmaceuticals,Equity
500128,,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,,INE086A01029,Construction & Engineering,Equity
